x,y,id,s
0.41,-0.10,"c_14.txt",4.0
-0.16,0.72,"c_15.txt",4.0
0.21,-0.20,"c_16.txt",4.0
0.47,-0.13,"c_17.txt",4.0
0.70,-0.26,"c_18.txt",4.0
-0.13,0.16,"c_19.txt",4.0
0.70,-0.44,"c_20.txt",4.0
0.02,0.71,"c_21.txt",4.0
-0.22,-0.15,"c_22.txt",4.0
0.10,-0.31,"c_23.txt",4.0
0.34,-0.20,"c_24.txt",4.0
-0.34,0.12,"c_25.txt",4.0
0.12,0.14,"c_26.txt",4.0
0.00,0.07,"c_27.txt",4.0
0.36,-0.09,"c_28.txt",4.0
0.55,-0.13,"c_29.txt",4.0
0.40,0.57,"c_30.txt",4.0
0.63,0.16,"c_31.txt",4.0
-0.04,0.04,"cancer_1.txt",4.0
-0.53,-0.15,"cancer_2.txt",4.0
-0.08,0.32,"cancer_3.txt",4.0
0.05,-0.22,"cancer_4.txt",4.0
0.29,0.12,"cancer_5.txt",4.0
0.25,-0.15,"cancer_6.txt",4.0
-0.51,-0.11,"cancer_7.txt",4.0
0.08,-0.40,"cancer_8.txt",4.0
-0.57,-0.17,"cancer_9.txt",4.0
-0.09,-0.18,"cancer_10.txt",4.0
0.13,0.66,"cancer_11.txt",4.0
0.07,-0.01,"cancer_12.txt",4.0
-0.25,-0.04,"cancer_13.txt",4.0
-0.57,-0.02,"cancer_14.txt",4.0
-0.31,-0.17,"cancer_15.txt",4.0
0.34,0.13,"cancer_16.txt",4.0
0.32,-0.36,"cancer_17.txt",4.0
-0.46,-0.05,"cancer_18.txt",4.0
-0.52,0.13,"cancer_19.txt",4.0
0.10,0.03,"cancer_20.txt",4.0
-0.38,-0.20,"cancer_21.txt",4.0
-0.39,0.16,"cancer_22.txt",4.0
0.08,0.63,"cancer_23.txt",4.0
0.67,0.26,"cancer_24.txt",4.0
-0.48,-0.08,"cancer_25.txt",4.0
-0.19,0.69,"cancer_26.txt",4.0
0.18,0.52,"cancer_27.txt",4.0
-0.36,-0.11,"cancer_28.txt",4.0
-0.36,-0.29,"cancer_29.txt",4.0
-0.08,0.32,"cancer_30.txt",4.0
-0.09,-0.30,"cancer_31.txt",4.0
-0.23,-0.26,"cancer_32.txt",4.0
-0.02,-0.00,"cancer_33.txt",4.0
0.29,-0.20,"cancer_34.txt",4.0
-0.13,-0.29,"cancer_35.txt",4.0
0.02,-0.21,"cancer_36.txt",4.0
0.17,0.29,"cancer_37.txt",4.0
